number,thood,tvelocity,ahood,w1vel,w2vel,shooter,db,turret
1 ,12.9722 ,5091.1968 ,13.1087 ,0.0000 ,0.0000 ,false ,true ,true
2 ,13.0248 ,5100.1200 ,13.0613 ,28.5517 ,14.2759 ,false ,true ,true
3 ,13.0260 ,5100.3266 ,13.1087 ,29.1989 ,58.3979 ,false ,true ,true
4 ,13.0614 ,5106.3860 ,13.0233 ,75.8163 ,60.6530 ,false ,true ,true
5 ,13.1027 ,5113.5242 ,13.0613 ,173.2746 ,126.0179 ,false ,true ,true
6 ,13.1027 ,5113.5242 ,13.0708 ,177.8551 ,210.1924 ,false ,true ,true
7 ,13.1253 ,5117.4729 ,13.0328 ,284.4201 ,217.4977 ,false ,true ,true
8 ,13.0260 ,5100.3266 ,13.0708 ,451.3619 ,329.8414 ,false ,true ,true
9 ,13.0260 ,5100.3266 ,13.0708 ,713.3582 ,743.0814 ,false ,true ,true
10 ,13.0067 ,5097.0421 ,13.0613 ,1065.1819 ,669.5427 ,false ,true ,true
11 ,13.0067 ,5097.0421 ,13.0423 ,1429.8376 ,963.5857 ,false ,true ,true
12 ,13.0276 ,5100.6037 ,13.0613 ,1594.1795 ,1101.4331 ,false ,true ,true
13 ,13.0505 ,5104.5236 ,13.0613 ,2015.1404 ,1214.6064 ,false ,true ,true
14 ,13.0260 ,5100.3266 ,13.0708 ,2095.5803 ,1372.9677 ,false ,true ,true
15 ,13.0233 ,5099.8589 ,13.0423 ,2409.8184 ,1606.5467 ,false ,true ,true
16 ,13.0276 ,5100.6037 ,13.0613 ,2847.1594 ,1736.0738 ,false ,true ,true
17 ,13.0233 ,5099.8589 ,13.0613 ,3025.2944 ,1973.0194 ,false ,true ,true
18 ,13.0233 ,5099.8589 ,13.0613 ,3105.1165 ,1994.6789 ,false ,true ,true
19 ,13.0233 ,5099.8589 ,13.0802 ,3383.0119 ,2099.0989 ,false ,true ,true
20 ,13.0233 ,5099.8589 ,13.0613 ,3659.4657 ,2248.8294 ,false ,true ,true
21 ,13.0276 ,5100.6037 ,13.0613 ,4198.7466 ,2514.8635 ,false ,true ,true
22 ,13.0505 ,5104.5236 ,13.0708 ,4259.2293 ,2481.0887 ,false ,true ,true
23 ,13.0249 ,5100.1310 ,13.0613 ,4233.1378 ,2427.2374 ,false ,true ,true
24 ,13.0260 ,5100.3266 ,13.0613 ,4650.4869 ,2700.9135 ,false ,true ,true
25 ,13.0221 ,5099.6563 ,13.0708 ,4434.3433 ,3030.1129 ,false ,true ,true
26 ,13.0474 ,5103.9900 ,13.0613 ,4849.8558 ,2863.1454 ,false ,true ,true
27 ,13.0461 ,5103.7654 ,13.0708 ,5214.9493 ,3104.6143 ,false ,true ,true
28 ,13.0492 ,5104.2935 ,13.0708 ,5386.3494 ,3284.8708 ,false ,true ,true
29 ,13.0304 ,5101.0769 ,13.0613 ,5473.3720 ,3431.1036 ,false ,true ,true
30 ,13.0237 ,5099.9240 ,13.0708 ,5825.5397 ,3804.9335 ,false ,true ,true
31 ,13.0474 ,5103.9900 ,13.0613 ,5575.1857 ,3792.0258 ,false ,true ,true
32 ,13.0276 ,5100.6037 ,13.0613 ,6180.4004 ,3877.0998 ,false ,true ,true
33 ,13.0248 ,5100.1200 ,13.0708 ,5747.7504 ,4375.2643 ,false ,true ,true
34 ,13.0249 ,5100.1310 ,13.0613 ,5406.4373 ,4403.0608 ,false ,true ,true
35 ,13.0276 ,5100.6037 ,13.0708 ,5262.8514 ,4610.1714 ,false ,true ,true
36 ,13.0474 ,5103.9900 ,13.0613 ,5183.7372 ,4816.4466 ,false ,true ,true
37 ,13.0505 ,5104.5236 ,13.0613 ,5060.3831 ,4999.2122 ,false ,true ,true
38 ,13.0276 ,5100.6037 ,13.0613 ,4286.2886 ,5143.5699 ,false ,true ,true
39 ,13.0474 ,5103.9900 ,13.0613 ,4916.1794 ,5262.9715 ,false ,true ,true
40 ,13.0276 ,5100.6037 ,13.0613 ,4900.6455 ,5349.8704 ,false ,true ,true
41 ,13.0461 ,5103.7654 ,13.0613 ,4921.3801 ,5411.4765 ,false ,true ,true
42 ,13.0276 ,5100.6037 ,13.0613 ,4959.7420 ,5429.1809 ,false ,true ,true
43 ,13.0276 ,5100.6037 ,13.0613 ,4977.5552 ,5405.9517 ,false ,true ,true
44 ,13.0426 ,5103.1689 ,13.0708 ,5050.7508 ,5356.2403 ,false ,true ,true
45 ,13.0264 ,5100.3922 ,13.0708 ,5811.9977 ,5322.5652 ,false ,true ,true
46 ,13.0249 ,5100.1310 ,13.0708 ,5141.5618 ,5284.3831 ,false ,true ,true
47 ,13.0249 ,5100.1310 ,13.0613 ,5181.8486 ,5243.0523 ,false ,true ,true
48 ,13.0237 ,5099.9240 ,13.0992 ,5189.1500 ,5189.1500 ,false ,true ,true
