number,thood,tvelocity,ahood,w1vel,w2vel,shooter,db,turret
019.3523 ,13.0694 ,5107.7749 ,12.9095 ,0.0000 ,0.0000 ,false ,true ,true
019.3731 ,13.0737 ,5108.5103 ,12.9189 ,0.0000 ,0.0000 ,false ,true ,true
019.3959 ,13.0737 ,5108.5103 ,12.9379 ,18.3704 ,36.7408 ,false ,true ,true
019.4079 ,13.0780 ,5109.2478 ,12.9095 ,72.4295 ,36.2148 ,false ,true ,true
019.4216 ,13.0780 ,5109.2478 ,12.9095 ,151.8156 ,94.8848 ,false ,true ,true
019.4339 ,13.0780 ,5109.2478 ,12.9095 ,160.0414 ,200.0518 ,false ,true ,true
019.4534 ,13.0780 ,5109.2478 ,12.9095 ,285.6265 ,204.0189 ,false ,true ,true
019.4722 ,13.0737 ,5108.5103 ,12.9095 ,469.6326 ,285.8633 ,false ,true ,true
019.4920 ,13.0737 ,5108.5103 ,12.9664 ,805.8303 ,474.0177 ,false ,true ,true
019.5113 ,13.0780 ,5109.2478 ,12.9000 ,1054.5147 ,550.1812 ,false ,true ,true
019.5327 ,13.0780 ,5109.2478 ,12.9095 ,1379.2680 ,724.6997 ,false ,true ,true
019.5519 ,13.0737 ,5108.5103 ,12.9189 ,1602.3064 ,768.2294 ,false ,true ,true
019.5712 ,13.0780 ,5109.2478 ,12.9095 ,1954.9824 ,790.3129 ,false ,true ,true
019.5915 ,13.0694 ,5107.7749 ,12.9569 ,2243.3900 ,958.5408 ,false ,true ,true
019.6109 ,13.0737 ,5108.5103 ,12.9569 ,2570.4162 ,1060.8083 ,false ,true ,true
019.6326 ,13.0737 ,5108.5103 ,12.9379 ,2892.5212 ,1344.4130 ,false ,true ,true
019.6527 ,13.0780 ,5109.2478 ,12.9854 ,3220.4357 ,1467.5422 ,false ,true ,true
019.6734 ,13.0737 ,5108.5103 ,12.9759 ,3532.6747 ,1327.3074 ,false ,true ,true
019.6911 ,13.0737 ,5108.5103 ,12.9854 ,3835.9193 ,1456.4165 ,false ,true ,true
019.7140 ,13.0694 ,5107.7749 ,12.9949 ,4085.3200 ,1593.2687 ,false ,true ,true
019.7375 ,13.0357 ,5101.9829 ,13.0233 ,4350.0976 ,2103.5546 ,false ,true ,true
019.7626 ,13.0524 ,5104.8473 ,13.0518 ,4586.1664 ,2323.6381 ,false ,true ,true
019.7764 ,13.0290 ,5100.8340 ,13.0233 ,4674.8736 ,2287.6804 ,false ,true ,true
019.7917 ,12.8942 ,5078.1843 ,13.0328 ,5011.2559 ,2106.7472 ,false ,true ,true
019.8115 ,12.9268 ,5083.6022 ,13.0138 ,5163.1364 ,2571.3318 ,false ,true ,true
019.8311 ,12.9966 ,5095.3215 ,13.0328 ,5304.4527 ,2795.0174 ,false ,true ,true
019.8517 ,13.0445 ,5103.4868 ,13.0328 ,5393.0085 ,3043.7780 ,false ,true ,true
019.8702 ,13.0713 ,5108.0861 ,13.0233 ,5444.1497 ,2915.7976 ,false ,true ,true
019.8918 ,13.0489 ,5104.2432 ,13.0138 ,5477.7714 ,3106.8331 ,false ,true ,true
019.9100 ,13.0489 ,5104.2432 ,13.0233 ,5619.0938 ,3417.6448 ,false ,true ,true
019.9322 ,13.0717 ,5108.1651 ,13.0423 ,5427.1028 ,3978.6063 ,false ,true ,true
019.9521 ,13.1112 ,5115.0074 ,13.0328 ,5330.7449 ,4211.8107 ,false ,true ,true
019.9701 ,13.1155 ,5115.7623 ,13.0233 ,5262.6635 ,4446.8737 ,false ,true ,true
019.9918 ,13.0467 ,5103.8610 ,13.0328 ,5201.1364 ,4670.9413 ,false ,true ,true
020.0127 ,13.0299 ,5100.9920 ,12.9759 ,5094.7361 ,5600.2656 ,false ,true ,true
020.0374 ,13.0314 ,5101.2503 ,12.9854 ,5054.2825 ,5828.8134 ,false ,true ,true
020.0514 ,13.0467 ,5103.8610 ,13.0138 ,5020.3627 ,5183.6924 ,false ,true ,true
020.0703 ,13.0467 ,5103.8610 ,12.9854 ,4972.3360 ,5298.4381 ,false ,true ,true
020.0905 ,13.0563 ,5105.5167 ,12.9759 ,4995.3181 ,5384.3256 ,false ,true ,true
020.1126 ,13.0563 ,5105.5167 ,13.0233 ,4983.4281 ,5412.3349 ,false ,true ,true
020.1316 ,13.0563 ,5105.5167 ,12.9854 ,5002.9922 ,5370.5587 ,false ,true ,true
020.1493 ,13.0357 ,5101.9829 ,12.9854 ,5038.2095 ,4585.8005 ,false ,true ,true
020.1709 ,13.0299 ,5100.9920 ,12.9854 ,5036.7414 ,4486.1653 ,false ,true ,true
020.1917 ,13.0314 ,5101.2503 ,12.9854 ,5059.7319 ,5222.9503 ,false ,true ,true
020.2126 ,13.0489 ,5104.2432 ,13.0328 ,5086.4926 ,5188.6298 ,false ,true ,true
