number,thood,tvelocity,ahood,w1vel,w2vel,shooter,db,turret
1 ,13.0483 ,5104.1446 ,12.9854 ,0.0000 ,0.0000 ,false ,true ,true
2 ,13.0483 ,5104.1446 ,12.9759 ,0.0000 ,0.0000 ,false ,true ,true
3 ,13.0483 ,5104.1446 ,12.9949 ,16.5318 ,16.5318 ,false ,true ,true
4 ,13.0483 ,5104.1446 ,12.9854 ,34.8147 ,17.4074 ,false ,true ,true
5 ,13.0242 ,5100.0083 ,12.9854 ,90.1563 ,54.0938 ,false ,true ,true
6 ,13.0483 ,5104.1446 ,12.9949 ,94.4900 ,56.6940 ,false ,true ,true
7 ,13.0261 ,5100.3476 ,12.9854 ,157.1810 ,137.5333 ,false ,true ,true
8 ,13.0483 ,5104.1446 ,12.9854 ,265.3648 ,265.3648 ,false ,true ,true
9 ,13.0483 ,5104.1446 ,12.9854 ,538.5434 ,538.5434 ,false ,true ,true
10 ,13.0483 ,5104.1446 ,12.9759 ,746.5446 ,719.8823 ,false ,true ,true
11 ,13.0522 ,5104.8038 ,12.9949 ,936.8833 ,936.8833 ,false ,true ,true
12 ,13.0483 ,5104.1446 ,12.9854 ,1151.6473 ,1128.1443 ,false ,true ,true
13 ,13.0483 ,5104.1446 ,12.9854 ,1419.3194 ,1374.9658 ,false ,true ,true
14 ,13.0483 ,5104.1446 ,12.9759 ,1677.4280 ,1550.0287 ,false ,true ,true
15 ,13.0522 ,5104.8038 ,12.9854 ,1894.6423 ,1711.2902 ,false ,true ,true
16 ,13.0276 ,5100.6028 ,12.9854 ,2142.2836 ,1899.7611 ,false ,true ,true
17 ,13.0483 ,5104.1446 ,12.9854 ,2448.5398 ,2162.8771 ,false ,true ,true
18 ,13.0483 ,5104.1446 ,12.9854 ,2709.7524 ,2322.6453 ,false ,true ,true
19 ,13.0522 ,5104.8038 ,12.9854 ,2895.0698 ,2455.8182 ,false ,true ,true
20 ,13.0522 ,5104.8038 ,12.9854 ,3224.5525 ,2673.5214 ,false ,true ,true
21 ,13.0297 ,5100.9483 ,12.9854 ,3462.0909 ,2810.3987 ,false ,true ,true
22 ,13.0522 ,5104.8038 ,12.9759 ,3617.6957 ,2882.2198 ,false ,true ,true
23 ,13.0522 ,5104.8038 ,12.9759 ,3857.9922 ,3027.0301 ,false ,true ,true
24 ,13.0522 ,5104.8038 ,12.9854 ,4194.6090 ,3237.5763 ,false ,true ,true
25 ,13.0483 ,5104.1446 ,12.9759 ,4432.1844 ,3431.3581 ,false ,true ,true
26 ,13.0522 ,5104.8038 ,12.9854 ,4756.2552 ,3671.4850 ,false ,true ,true
27 ,13.0483 ,5104.1446 ,12.9854 ,4838.1734 ,3756.2092 ,false ,true ,true
28 ,13.0483 ,5104.1446 ,12.9854 ,5007.9167 ,3965.4584 ,false ,true ,true
29 ,13.0522 ,5104.8038 ,12.9854 ,5290.0679 ,4282.4663 ,false ,true ,true
30 ,13.0483 ,5104.1446 ,12.9759 ,5469.6385 ,4554.5333 ,false ,true ,true
31 ,13.0483 ,5104.1446 ,12.9854 ,5317.1978 ,4581.0162 ,false ,true ,true
32 ,13.0483 ,5104.1446 ,12.9854 ,5347.3222 ,4755.4894 ,false ,true ,true
33 ,13.0276 ,5100.6028 ,12.9949 ,5347.3765 ,4918.8176 ,false ,true ,true
34 ,13.0483 ,5104.1446 ,12.9854 ,5325.8047 ,5080.9897 ,false ,true ,true
35 ,13.0483 ,5104.1446 ,12.9759 ,5287.6675 ,5206.0430 ,false ,true ,true
36 ,13.0483 ,5104.1446 ,12.9379 ,5225.7491 ,5287.0063 ,false ,true ,true
37 ,13.0483 ,5104.1446 ,12.9759 ,5162.7016 ,5346.3557 ,false ,true ,true
38 ,13.0222 ,5099.6760 ,12.9569 ,5108.3171 ,5352.5392 ,false ,true ,true
39 ,13.0257 ,5100.2642 ,12.9759 ,5083.1125 ,5368.9094 ,false ,true ,true
40 ,12.9524 ,5087.8763 ,12.9664 ,5030.3862 ,5356.2411 ,false ,true ,true
41 ,12.8938 ,5078.1222 ,12.9759 ,4815.6845 ,5109.3227 ,false ,true ,true
42 ,12.9524 ,5087.8763 ,12.9949 ,4991.2550 ,5276.4698 ,false ,true ,true
43 ,13.0222 ,5099.6760 ,12.9854 ,4898.0787 ,5097.1869 ,false ,true ,true
44 ,13.0276 ,5100.6028 ,13.0043 ,5022.4077 ,5185.7384 ,false ,true ,true
