number,thood,tvelocity,ahood,w1vel,w2vel,shooter,db,turret
1 ,13.0492 ,5104.2935 ,13.0328 ,0.0000 ,0.0000 ,false ,true ,true
2 ,13.0492 ,5104.2935 ,13.0233 ,0.0000 ,0.0000 ,false ,true ,true
3 ,13.0510 ,5104.6083 ,13.0518 ,15.9823 ,0.0000 ,false ,true ,true
4 ,13.0510 ,5104.6083 ,13.0328 ,16.7484 ,50.2453 ,false ,true ,true
5 ,13.0524 ,5104.8430 ,13.0233 ,34.9748 ,52.4621 ,false ,true ,true
6 ,13.0492 ,5104.2935 ,13.0233 ,88.8857 ,124.4400 ,false ,true ,true
7 ,13.0492 ,5104.2935 ,13.0233 ,92.2571 ,129.1600 ,false ,true ,true
8 ,13.0492 ,5104.2935 ,13.0233 ,174.1719 ,251.5816 ,false ,true ,true
9 ,13.0264 ,5100.3922 ,13.0518 ,442.1787 ,607.9957 ,false ,true ,true
10 ,13.0510 ,5104.6083 ,13.0233 ,676.3397 ,901.7863 ,false ,true ,true
11 ,13.0510 ,5104.6083 ,13.0233 ,919.6297 ,1103.5560 ,false ,true ,true
12 ,13.0510 ,5104.6083 ,13.0233 ,1175.8419 ,1371.8156 ,false ,true ,true
13 ,13.0510 ,5104.6083 ,13.0233 ,1457.0444 ,1624.2458 ,false ,true ,true
14 ,13.0264 ,5100.3922 ,13.0138 ,1799.3765 ,1936.0376 ,false ,true ,true
15 ,13.0492 ,5104.2935 ,13.0233 ,2047.5487 ,2069.1017 ,false ,true ,true
16 ,13.0510 ,5104.6083 ,13.0233 ,2249.8463 ,2168.0335 ,false ,true ,true
17 ,13.0524 ,5104.8430 ,13.0233 ,2553.3889 ,2369.5448 ,false ,true ,true
18 ,13.0264 ,5100.3922 ,13.0233 ,2328.6570 ,2532.9245 ,false ,true ,true
19 ,13.0492 ,5104.2935 ,13.0233 ,3132.1348 ,2664.3481 ,false ,true ,true
20 ,13.0492 ,5104.2935 ,13.0043 ,3435.7066 ,2822.1875 ,false ,true ,true
21 ,13.0492 ,5104.2935 ,13.0233 ,3700.5661 ,2964.5355 ,false ,true ,true
22 ,13.0492 ,5104.2935 ,13.0233 ,3944.3168 ,3131.0491 ,false ,true ,true
23 ,13.0237 ,5099.9240 ,13.0233 ,4202.4193 ,3304.8091 ,false ,true ,true
24 ,13.0492 ,5104.2935 ,13.0233 ,4446.5627 ,3467.4967 ,false ,true ,true
25 ,13.0067 ,5097.0421 ,13.0233 ,5171.5571 ,3644.5207 ,false ,true ,true
26 ,13.0456 ,5103.6823 ,13.0233 ,4872.6815 ,3869.4756 ,false ,true ,true
27 ,12.9688 ,5090.6326 ,13.0233 ,4996.9889 ,4038.3773 ,false ,true ,true
28 ,12.8852 ,5076.7081 ,13.0138 ,5120.3656 ,4226.3527 ,false ,true ,true
29 ,12.9704 ,5090.8923 ,13.0328 ,5264.8116 ,4465.9069 ,false ,true ,true
30 ,12.9704 ,5090.8923 ,13.0423 ,5304.1504 ,4630.9659 ,false ,true ,true
31 ,13.0067 ,5097.0421 ,13.0328 ,5329.0964 ,4839.0995 ,false ,true ,true
32 ,13.0067 ,5097.0421 ,12.9759 ,5357.5721 ,5009.9787 ,false ,true ,true
33 ,13.0054 ,5096.8165 ,13.0518 ,5305.7903 ,5162.9809 ,false ,true ,true
34 ,13.0461 ,5103.7654 ,13.0233 ,5287.4794 ,5287.5179 ,false ,true ,true
35 ,13.0997 ,5113.0125 ,13.0233 ,5267.1993 ,5410.6821 ,false ,true ,true
36 ,13.1269 ,5117.7472 ,13.0233 ,5180.8505 ,5425.6149 ,false ,true ,true
37 ,13.0839 ,5110.2762 ,13.0233 ,4729.2472 ,5705.1245 ,false ,true ,true
38 ,13.0217 ,5099.5922 ,13.0138 ,4869.7295 ,5181.3921 ,false ,true ,true
39 ,13.0004 ,5095.9627 ,13.0328 ,5054.8242 ,5401.3228 ,false ,true ,true
40 ,13.0221 ,5099.6568 ,13.0328 ,5037.2087 ,5343.1118 ,false ,true ,true
41 ,13.0461 ,5103.7654 ,13.0233 ,5017.1014 ,5302.6270 ,false ,true ,true
42 ,13.0461 ,5103.7654 ,13.0233 ,5016.5285 ,5240.8443 ,false ,true ,true
43 ,13.0237 ,5099.9240 ,12.9949 ,5009.7701 ,5193.0550 ,false ,true ,true
44 ,13.0194 ,5099.1936 ,13.0138 ,5520.9214 ,4828.0109 ,false ,true ,true
45 ,13.0461 ,5103.7654 ,13.0233 ,5311.1179 ,5396.7822 ,false ,true ,true
