number,thood,tvelocity,ahood,w1vel,w2vel,shooter,db,turret
1 ,13.0461 ,5103.7654 ,12.9759 ,0.0000 ,0.0000 ,false ,true ,true
2 ,13.0431 ,5103.2378 ,12.9759 ,16.3427 ,0.0000 ,false ,true ,true
3 ,13.0479 ,5104.0745 ,12.9949 ,33.8055 ,33.8055 ,false ,true ,true
4 ,13.0431 ,5103.2378 ,12.9949 ,34.4692 ,34.4692 ,false ,true ,true
5 ,13.0461 ,5103.7654 ,12.9854 ,89.9905 ,107.9886 ,false ,true ,true
6 ,13.0461 ,5103.7654 ,12.9759 ,186.5430 ,167.8887 ,false ,true ,true
7 ,13.0459 ,5103.7238 ,12.9854 ,196.6926 ,177.0234 ,false ,true ,true
8 ,13.0431 ,5103.2378 ,12.9759 ,347.1321 ,285.8735 ,false ,true ,true
9 ,13.0461 ,5103.7654 ,12.9854 ,706.0622 ,515.9686 ,false ,true ,true
10 ,13.0428 ,5103.1964 ,12.9854 ,926.7618 ,592.0976 ,false ,true ,true
11 ,13.0461 ,5103.7654 ,12.9759 ,1250.4713 ,775.2918 ,false ,true ,true
12 ,13.0459 ,5103.7238 ,12.9854 ,1485.7368 ,801.8262 ,false ,true ,true
13 ,13.0459 ,5103.7238 ,13.0043 ,1710.4010 ,877.7064 ,false ,true ,true
14 ,13.0461 ,5103.7654 ,12.9854 ,2035.6241 ,1017.8134 ,false ,true ,true
15 ,13.0235 ,5099.8915 ,12.9854 ,2264.2531 ,1060.7326 ,false ,true ,true
16 ,13.0459 ,5103.7238 ,12.9854 ,2571.4076 ,1163.2573 ,false ,true ,true
17 ,13.0428 ,5103.1964 ,12.9854 ,2857.6493 ,1265.5319 ,false ,true ,true
18 ,13.0428 ,5103.1964 ,12.9854 ,3143.4578 ,1347.1978 ,false ,true ,true
19 ,13.0461 ,5103.7654 ,12.9854 ,3387.9906 ,1469.4913 ,false ,true ,true
20 ,13.0459 ,5103.7238 ,12.9854 ,3629.5941 ,1896.3579 ,false ,true ,true
21 ,13.0428 ,5103.1964 ,12.9854 ,3743.4574 ,1654.9953 ,false ,true ,true
22 ,13.0459 ,5103.7238 ,12.9759 ,4122.4970 ,1857.1525 ,false ,true ,true
23 ,13.0428 ,5103.1964 ,12.9854 ,4325.8482 ,1979.2628 ,false ,true ,true
24 ,13.0428 ,5103.1964 ,12.9759 ,4571.1733 ,2081.4950 ,false ,true ,true
25 ,13.0049 ,5096.7385 ,12.9854 ,4774.7068 ,2203.6838 ,false ,true ,true
26 ,13.0067 ,5097.0421 ,13.0328 ,4985.7405 ,2308.9383 ,false ,true ,true
27 ,12.9446 ,5086.5611 ,12.9854 ,5172.1719 ,2146.5351 ,false ,true ,true
28 ,12.9487 ,5087.2513 ,12.9854 ,5503.4908 ,2709.4052 ,false ,true ,true
29 ,12.9686 ,5090.5931 ,12.9854 ,5411.1756 ,2777.0680 ,false ,true ,true
30 ,12.9673 ,5090.3795 ,12.9854 ,5469.0902 ,2979.4605 ,false ,true ,true
31 ,13.0204 ,5099.3630 ,12.9759 ,5489.7104 ,3224.4921 ,false ,true ,true
32 ,13.0217 ,5099.5922 ,12.9854 ,5449.1855 ,3449.1851 ,false ,true ,true
33 ,13.0217 ,5099.5922 ,13.0233 ,5408.3074 ,3734.8957 ,false ,true ,true
34 ,13.0233 ,5099.8589 ,12.9854 ,5344.2173 ,3957.2819 ,false ,true ,true
35 ,13.0459 ,5103.7238 ,12.9854 ,5257.5967 ,4177.6670 ,false ,true ,true
36 ,13.1011 ,5113.2498 ,12.9569 ,5183.6640 ,4428.6693 ,false ,true ,true
37 ,13.1087 ,5114.5682 ,12.9949 ,5123.5002 ,4633.6954 ,false ,true ,true
38 ,13.0428 ,5103.1964 ,13.0233 ,5040.0149 ,4836.0409 ,false ,true ,true
39 ,13.0049 ,5096.7385 ,13.0233 ,5018.4970 ,5018.5575 ,false ,true ,true
40 ,13.0217 ,5099.5922 ,12.9854 ,4966.9154 ,5150.1619 ,false ,true ,true
41 ,13.0426 ,5103.1549 ,12.9759 ,4960.7698 ,5307.8401 ,false ,true ,true
42 ,13.0428 ,5103.1964 ,12.9854 ,5272.5272 ,5707.1808 ,false ,true ,true
43 ,13.0217 ,5099.5922 ,12.9854 ,4715.2100 ,5140.3525 ,false ,true ,true
44 ,13.0233 ,5099.8589 ,12.9949 ,4992.7503 ,5461.4576 ,false ,true ,true
45 ,13.0237 ,5099.9240 ,12.9854 ,5028.1639 ,5435.3012 ,false ,true ,true
46 ,13.0237 ,5099.9240 ,12.9949 ,5042.2838 ,5430.1516 ,false ,true ,true
47 ,13.0049 ,5096.7385 ,13.0233 ,5086.8926 ,5393.3308 ,false ,true ,true
48 ,13.0426 ,5103.1549 ,12.9759 ,5096.7150 ,5300.5829 ,false ,true ,true
49 ,13.0426 ,5103.1549 ,12.9759 ,4771.6123 ,4882.5814 ,false ,true ,true
50 ,13.0428 ,5103.1964 ,13.0328 ,5414.7783 ,5501.0690 ,false ,true ,true
